"","Geneid","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"9569","ENSG00000197530.13",336.715021539468,335.721522560787,304.865393004139,"ENSG00000197530","MIB2"
"9570","ENSG00000197535.16",1512.14512323012,1543.25166842165,1872.24239003546,"ENSG00000197535","MYO5A"
"9571","ENSG00000197548.13",791.096779050326,708.556642250923,723.821665113145,"ENSG00000197548","ATG7"
"9572","ENSG00000197555.10",3161.73286080943,3552.35364826758,3332.433857936,"ENSG00000197555","SIPA1L1"
"9573","ENSG00000197557.7",1086.38602387372,1190.67688674219,1279.33059721961,"ENSG00000197557","TTC30A"
"9574","ENSG00000197558.13",290.911935211645,303.115705036297,596.369518111031,"ENSG00000197558","SSPO"
"9575","ENSG00000197562.10",583.751834677811,683.903633760175,717.725820499281,"ENSG00000197562","RAB40C"
"9576","ENSG00000197563.11",1148.95434110285,1238.78108635005,1067.31259572486,"ENSG00000197563","PIGN"
"9577","ENSG00000197568.15",428.514402867345,346.467407512901,308.388219703971,"ENSG00000197568","HHLA3"
"9578","ENSG00000197579.8",2439.64284380812,2529.8789530493,2522.01113988691,"ENSG00000197579","TOPORS"
"9579","ENSG00000197586.13",1006.54928654133,1113.20290380203,1044.28583608803,"ENSG00000197586","ENTPD6"
"9580","ENSG00000197601.13",7070.98384520115,6948.14369332838,7344.75671544002,"ENSG00000197601","FAR1"
"9581","ENSG00000197603.16",3807.14635836522,3536.31555317396,4658.87446911553,"ENSG00000197603","C5orf42"
"9582","ENSG00000197608.12",337.927698202373,356.825178660345,451.097368569472,"ENSG00000197608","ZNF841"
"9583","ENSG00000197619.15",537.099356932986,550.111802770021,592.246270568918,"ENSG00000197619","ZNF615"
"9584","ENSG00000197620.11",381.306441233173,343.571392848296,432.414442360173,"ENSG00000197620","CXorf40A"
"9585","ENSG00000197622.13",7944.55005624596,8229.98995256146,8144.91946662116,"ENSG00000197622","CDC42SE1"
"9586","ENSG00000197653.16",926.109435931765,911.334041010431,840.186486970554,"ENSG00000197653","DNAH10"
"9587","ENSG00000197694.18",23949.8789076048,21931.6123602437,30118.2373631811,"ENSG00000197694","SPTAN1"
"9588","ENSG00000197702.14",2835.43138933631,3054.38192876809,2947.00868350691,"ENSG00000197702","PARVA"
"9589","ENSG00000197705.10",496.013666880745,479.807261261419,484.76484341443,"ENSG00000197705","KLHL14"
"9590","ENSG00000197712.12",463.264500594203,516.509623419638,315.797438684416,"ENSG00000197712","FAM114A1"
"9591","ENSG00000197713.15",4040.7120251124,3870.63016043692,4106.48980623733,"ENSG00000197713","RPE"
"9592","ENSG00000197714.9",389.822572922998,279.988240605088,385.477265631401,"ENSG00000197714","ZNF460"
"9593","ENSG00000197724.11",4372.6975995698,4197.28134732875,4091.9062323368,"ENSG00000197724","PHF2"
"9594","ENSG00000197728.11",12668.4127698766,11887.1405258741,10894.262388516,"ENSG00000197728","RPS26"
"9595","ENSG00000197728.11",12668.4127698766,11887.1405258741,10894.262388516,"ENSG00000197728","RPS26"
"9596","ENSG00000197746.15",29250.5698706833,27697.6264497264,25827.2672643614,"ENSG00000197746","PSAP"
"9597","ENSG00000197747.9",730.319033041313,668.198805683328,699.715499110141,"ENSG00000197747","S100A10"
"9598","ENSG00000197756.10",51432.113473672,47593.9056536516,45412.8782660873,"ENSG00000197756","RPL37A"
"9599","ENSG00000197757.8",812.639515612639,776.101692330837,802.660233933387,"ENSG00000197757","HOXC6"
"9600","ENSG00000197763.20",1051.28140723356,1046.38597757723,1162.22828138672,"ENSG00000197763","TXNRD3"
"9601","ENSG00000197771.13",8396.52801613683,8411.85393260579,8377.66862668914,"ENSG00000197771","MCMBP"
"9602","ENSG00000197774.14",484.772460164255,446.215471145952,752.509656321694,"ENSG00000197774","EME2"
"9603","ENSG00000197779.15",1497.08535657232,1420.34091411231,1975.84581730398,"ENSG00000197779","ZNF81"
"9604","ENSG00000197780.11",1033.7576190919,1007.55129470212,1039.16108777772,"ENSG00000197780","TAF13"
"9605","ENSG00000197782.15",1235.3052956994,1050.95393806482,1195.16878623351,"ENSG00000197782","ZNF780A"
