"","Geneid","DZ_curves_002_1","DZ_curves_002_2","DZ_curves_002_3","DZ_curves_003_1","DZ_curves_003_2","DZ_curves_003_3","DZ_curves_004_1","DZ_curves_004_2","DZ_curves_004_3","DZ_curves_005_1","DZ_curves_005_2","DZ_curves_005_3","DZ_curves_0075_1","DZ_curves_0075_2","DZ_curves_0075_3","DZ_curves_01_1","DZ_curves_01_2","DZ_curves_01_3","DZ_curves_1_1","DZ_curves_1_2","DZ_curves_1_3","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"11215","ENSG00000271474.1",1313.623,1445.067,1434.137,1428.837,1453.529,1551.05,1462.05,1614.21,1537.421,1667.008,1648.735,1518.762,1683.771,1562.559,1636.384,1840.158,1685.27,1744.716,2215.93,2111.684,2001.103,1187.664,1260.043,1303.651,"ENSG00000271474","AC106881.1"
"11216","ENSG00000271533.1",433.0808,513.2616,193.7288,142.4458,466.2361,450.1448,103.7158,392.4573,456.1235,301.8013,405.2624,126.4112,126.489,264.6994,174.602,592.8549,413.0028,252.3143,95.98592,326.6789,267.7041,160.0695,130.8935,369.757,"ENSG00000271533","Z83843.1"
"11217","ENSG00000271601.4",8241.739,6762.636,7056.828,7634.028,7089.739,6970.13,7315.723,7119.783,7080.13,7192.948,6954.837,7277.235,7450.354,7741.464,7335.543,7317.141,7648.473,6989.99,7724.067,7686.953,6766.538,7884.089,7464.718,6332.348,"ENSG00000271601","LIX1L"
"11218","ENSG00000271741.1",279.6527,374.2255,353.702,311.4491,310.4092,324.5759,411.2733,287.6897,372.1056,267.0246,239.5867,297.6964,323.1429,313.2729,358.4043,341.9028,349.4069,220.1432,335.6095,283.3676,281.3905,255.214,252.4064,260.0326,"ENSG00000271741","AC114490.2"
"11219","ENSG00000271976.1",553.9347,514.8099,531.1514,501.8313,545.2063,509.313,525.7893,588.9553,571.7492,536.0911,464.4542,517.7005,488.4483,525.2253,500.9945,529.334,495.8637,537.3519,473.3455,438.6708,462.1053,531.5103,507.1942,555.2304,"ENSG00000271976","AC012467.2"
"11220","ENSG00000272031.3",631.3708,489.5319,517.6119,533.0301,459.5528,465.7627,464.4744,490.5823,428.7586,443.6381,394.925,451.857,508.1537,536.5997,511.2903,539.5525,501.7972,494.7967,473.4236,481.4128,444.1236,515.9985,533.2772,448.7033,"ENSG00000272031","ANKRD34A"
"11221","ENSG00000272047.4",483.9276,434.9625,440.835,498.9962,415.402,446.6102,447.6832,343.8456,419.4789,424.7983,425.018,461.7417,421.9694,462.9906,494.4138,475.9932,451.927,447.6744,498.069,423.9912,460.2223,489.9673,472.7191,434.8187,"ENSG00000272047","GTF2H5"
"11222","ENSG00000272163.1",1706.01,1537.898,1669.035,1696.229,1727.768,1601.194,1685.733,1684.346,1608.903,1731.791,1704.598,1558.844,1578.226,1711.86,1568.942,1570.028,1599.288,1460.539,1624.222,1600.401,1503.859,1589.651,1549.219,1451.203,"ENSG00000272163","AF106564.1"
"11223","ENSG00000272168.9",1563.232,1482.909,1355.181,1767.469,1780.139,1909.434,1893.905,1910.754,1983.1,2119.803,2014.545,1791.964,1912.564,1897.245,1787.742,2116.172,1932.206,1776.367,1674.591,1885.411,1505.207,1201.748,1056.659,1212.442,"ENSG00000272168","CASC15"
"11224","ENSG00000272316.1",728.004,632.0454,530.6448,557.9444,602.3819,594.3237,490.8122,598.9575,528.2867,513.5408,569.8799,461.2556,474.1208,558.034,480.0499,613.6613,569.6175,460.0311,427.7658,531.6556,408.5273,532.3711,493.7833,534.0463,"ENSG00000272316","AL021368.2"
"11225","ENSG00000272325.2",15288.69,14102.11,14297.44,13370.47,14215.07,13751.92,12787.62,14808.18,13948.25,13844.16,13400.21,13022.13,13166.48,13863.21,12544.79,13988.29,13953.4,13186.08,13341.59,13842.09,13514.12,14114.22,14125.55,14118.07,"ENSG00000272325","NUDT3"
"11226","ENSG00000272333.8",7921.751,7314.85,7231.287,6606.591,7307.227,7819.59,6088.709,7942.449,7356.669,7281.23,7660.778,6556.351,7333.899,7262.181,6865.799,8113.704,7812.077,7642.407,7013.933,7958.512,8011.76,7184.608,6753.965,7547.829,"ENSG00000272333","KMT2B"
"11227","ENSG00000272335.1",1221.037,1252.916,1140.754,921.8499,1198.501,1148.838,769.9073,1118.738,1185.601,1107.522,1083.153,715.1793,802.1595,1017.902,820.0583,1138.773,1128.016,893.167,699.1112,1049.272,873.6052,1029.897,956.0714,1091.446,"ENSG00000272335","AC093297.3"
"11228","ENSG00000272391.6",6426.967,6554.371,6735.065,6565.084,7159.646,6992.719,6911.713,7850.187,7324.488,7413.222,7337.816,6877.59,7239.855,7089.487,6669.385,6754.545,7286.324,7041.377,5912.328,5954.127,5789.927,6112.235,6319.272,6370.525,"ENSG00000272391","POM121C"
"11229","ENSG00000272398.6",50894.06,47945.6,50965.2,54420.07,51348.56,52125.07,56311.24,55605.64,53993.6,56171.64,53894.15,56133.26,56447.87,57133.66,52983.97,53945.53,54733.23,56902.12,58797.8,56490.98,56341.38,51056.76,49741.18,48528.02,"ENSG00000272398","CD24"
