"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000189114.8",5.32635013907531,0.335685641222199,0.856542031028493,0.391907961386465,0.695126220274872,0.999946159858965,"BLOC1S3"
"ENSG00000104879.5",1.51909392682198,-2.94771723158113,1.84642305719999,-1.59644736892053,0.110388947517847,0.999946159858965,"CKM"
"ENSG00000104892.17",342.045878676101,-0.1998137079156,0.133084019304099,-1.50141022912017,0.133249489782785,0.999946159858965,"KLC3"
"ENSG00000104884.16",53.8764679536475,-0.0600538692212376,0.273394792866372,-0.219659886684785,0.826136047415378,0.999946159858965,"ERCC2"
"ENSG00000104881.16",11.5647796034549,0.121778727993819,0.568151034875,0.214342174032319,0.8302802320529,0.999946159858965,"PPP1R13L"
"ENSG00000117877.10",831.319647590793,0.0241305952439504,0.106962083304019,0.225599525538072,0.821512909903904,0.999946159858965,"CD3EAP"
"ENSG00000012061.16",962.389854514195,-0.0100816297933793,0.0977443154478439,-0.103142875851014,0.917849576457241,0.999946159858965,"ERCC1"
"ENSG00000125744.12",91.753315002299,-0.0690141981607719,0.210463208634274,-0.327915736952862,0.742975374684439,0.999946159858965,"RTN2"
"ENSG00000213889.10",397.95608042572,-0.107569671322988,0.118432538453748,-0.908278018249163,0.363731353221889,0.999946159858965,"PPM1N"
"ENSG00000125753.14",62.615702075425,0.195023855645126,0.270050313760895,0.722176000942558,0.470186276322875,0.999946159858965,"VASP"
"ENSG00000125741.5",63.2052105437586,0.300888396476425,0.280906768893511,1.07113259556408,0.284109813837109,0.999946159858965,"OPA3"
"ENSG00000125746.17",8.94415092911743,-0.255921224186468,0.647548543363307,-0.395215504396376,0.692683851289321,0.999946159858965,"EML2"
"ENSG00000267757.4",61.8675256928657,-0.561959221175873,0.288530954404841,-1.94765661221701,0.0514560649337155,0.999946159858965,"EML2-AS1"
"ENSG00000010310.9",3.16407414355098,0.440638985145223,1.17596960848342,0.374702698068437,0.707881585452475,0.999946159858965,"GIPR"
"ENSG00000125743.10",339.911085138919,-0.000581888728617358,0.141471851942328,-0.00411310603931707,0.996718225447601,0.999946159858965,"SNRPD2"
"ENSG00000011478.12",4.51631067835251,-0.771300075352477,1.09472414121314,-0.704561127607678,0.48108339665766,0.999946159858965,"QPCTL"
"ENSG00000177051.6",23.2358175077197,-0.671254909209033,0.430853686785915,-1.55796487252196,0.119241575409689,0.999946159858965,"FBXO46"
"ENSG00000279407.1",1.13306898807226,0.321093152160074,1.90770368063716,0.168313955369018,0.866336295686285,0.999946159858965,"AC007191.1"
"ENSG00000177045.10",13.7971826307357,0.0115434624311134,0.584378854531419,0.019753388305553,0.984240101363273,0.999946159858965,"SIX5"
"ENSG00000259605.3",188.359090950673,-0.0553777447668675,0.156640882345806,-0.353533151355809,0.723688780068429,0.999946159858965,"AC074212.1"
"ENSG00000267395.5",288.388055319757,-0.0146438410653253,0.152749198027198,-0.0958685299461791,0.923624988890791,0.999946159858965,"DM1-AS"
"ENSG00000104936.18",37.9621252729293,-0.0989653156074103,0.339795342127769,-0.291249771076019,0.770860299800438,0.999946159858965,"DMPK"
"ENSG00000185800.12",44.0034099406469,0.225305971095377,0.303066707638995,0.743420393650614,0.457227201135134,0.999946159858965,"DMWD"
"ENSG00000125755.19",148.212917240474,-0.172975245897722,0.185886282758766,-0.930543358716797,0.352089825570377,0.999946159858965,"SYMPK"
"ENSG00000269148.1",168.175884229254,-0.117640127198688,0.190114281447188,-0.61878637576929,0.536057098686252,0.999946159858965,"AC092301.1"
"ENSG00000170604.5",72.657207509174,-0.231048394012637,0.240944470224828,-0.958927979534216,0.337595028321855,0.999946159858965,"IRF2BP1"
"ENSG00000176182.6",22.3462928759032,-0.311028250556969,0.437675122274983,-0.710637262041036,0.477309046293948,0.999946159858965,"MYPOP"
"ENSG00000104967.7",64.0104623300867,0.043075301061958,0.250636784522848,0.171863444322281,0.863544886114875,0.999946159858965,"NOVA2"
"ENSG00000104983.8",6.29554355906957,0.119271785103574,0.77423294256826,0.154051550309819,0.877569089403475,0.999946159858965,"CCDC61"
"ENSG00000008438.5",3.4572851750441,-0.203394111087144,1.06742401721921,-0.190546687919778,0.848880761616938,0.999946159858965,"PGLYRP1"
"ENSG00000269124.1",3.15398562894818,-1.49937933263946,1.38011911869787,-1.08641298589799,0.27729631885199,0.999946159858965,"AC007193.2"
"ENSG00000011485.15",142.860714214583,-0.0106527670153024,0.194046745724434,-0.0548979421197322,0.956219771358988,0.999946159858965,"PPP5C"
"ENSG00000268810.1",32.5800835024411,-2.6421872174521e-07,0.361136731360003,-7.31630706049172e-07,0.999999416243155,0.999999416243155,"AC007193.1"
"ENSG00000269151.1",316.994370144347,0.0606338366692321,0.154707210538369,0.391926377951171,0.695112612250736,0.999946159858965,"AC007193.3"
"ENSG00000277531.2",14.4533953738244,-0.541981948363937,0.51950017949186,-1.04327576728475,0.296820590984532,0.999946159858965,"PNMA8C"
"ENSG00000182013.18",91.7619380748133,-0.16602035232413,0.223237841528538,-0.743692696486258,0.457062408934284,0.999946159858965,"PNMA8A"
"ENSG00000230510.6",19.2290070120443,-0.340000658128752,0.446501059828573,-0.76147782999505,0.446371715875073,0.999946159858965,"PPP5D1"
"ENSG00000204851.7",27.8329288162601,-0.138796049784,0.375284859993858,-0.369841857692506,0.711500325147543,0.999946159858965,"PNMA8B"
"ENSG00000204850.4",134.916604608268,-0.174674562352783,0.194863769338863,-0.896393223560345,0.370042785229479,0.999946159858965,"AC011484.1"
"ENSG00000160014.17",428.075241101514,0.0203417613692459,0.117221638193661,0.173532478155948,0.862232901245281,0.999946159858965,"CALM3"
"ENSG00000269292.1",4164.48556650667,-0.0233826068530332,0.0846857096378375,-0.27611041996377,0.782463257683734,0.999946159858965,"AC093503.2"
"ENSG00000160013.9",4.79441352196301,0.476819128847476,0.973710086700597,0.489693118475512,0.624351072118631,0.999946159858965,"PTGIR"
"ENSG00000167414.4",27.2761053228241,-0.461732039338468,0.388225294938828,-1.18934043030664,0.234305731720741,0.999946159858965,"GNG8"
"ENSG00000279161.1",4.76094040394876,0.0513144810338875,0.924864723144852,0.0554832287898288,0.955753490854347,0.999946159858965,"AC093503.3"
"ENSG00000197380.11",28.6945832579638,0.151928038657943,0.369524663132561,0.411144515686742,0.680966569950352,0.999946159858965,"DACT3"
"ENSG00000245598.6",4.42709467520895,1.46217659734101,1.01760855527966,1.43687529920499,0.150753429643074,0.999946159858965,"DACT3-AS1"
"ENSG00000105287.12",72.9179941713147,-0.0702092353518024,0.241840745379972,-0.290311854776548,0.771577670402111,0.999946159858965,"PRKD2"
"ENSG00000090372.15",240.740012780465,0.080936662426389,0.147398733702221,0.549100120425047,0.582936742600141,0.999946159858965,"STRN4"
"ENSG00000269487.1",920.82926043938,0.08261495622042,0.0980079929308661,0.842941006645202,0.399261438061241,0.999946159858965,"AC008635.2"
"ENSG00000222614.1",1.1814626020621,-0.431129464619068,1.86723212102923,-0.230892270844948,0.817398495489869,0.999946159858965,"AC008635.1"
"ENSG00000181027.11",496.206016449253,-0.0722064473581272,0.118470180206791,-0.609490483023578,0.542199379012991,0.999946159858965,"FKRP"
"ENSG00000105281.12",183.237249312123,0.208837490342318,0.15704511634037,1.32979296146781,0.183586495630538,0.999946159858965,"SLC1A5"
"ENSG00000275719.1",2006.63206825538,-0.0122997855128626,0.09566239387249,-0.128574929133147,0.897694005270352,0.999946159858965,"AC008622.2"
"ENSG00000042753.12",102.19466426975,-0.184361216528314,0.228539454616996,-0.806693167432647,0.419843281561273,0.999946159858965,"AP2S1"
"ENSG00000160007.19",249.458805414032,0.119020881731081,0.151993302305063,0.783066621529128,0.433587990795544,0.999946159858965,"ARHGAP35"
"ENSG00000130751.10",1.80331533758793,0.751275266010173,1.42292078339353,0.527981089866757,0.597512460955203,0.999946159858965,"NPAS1"
"ENSG00000130748.7",18.7376655573487,-0.10316343010395,0.455340351360712,-0.226563338381197,0.820763302705917,0.999946159858965,"TMEM160"
"ENSG00000130749.10",250.546875824157,0.0991425402206358,0.155892171506771,0.63596869080966,0.52479682911801,0.999946159858965,"ZC3H4"
"ENSG00000142230.13",177.811644367686,0.051907467600995,0.174703423899706,0.297117631940597,0.766376703541099,0.999946159858965,"SAE1"
"ENSG00000105327.18",14.6298528942857,0.641387145931518,0.532616897931445,1.20421854511659,0.228505119938451,0.999946159858965,"BBC3"
"ENSG00000265134.1",9.55829104306856,0.249036733954051,0.664730136538693,0.374643363171116,0.707925718828754,0.999946159858965,"MIR3190"
